0.81472,0.27603,0
0.90579,0.6797,0
0.12699,0.6551,0
0.91338,0.16261,0
0.63236,0.119,0
0.09754,0.49836,0
0.2785,0.95974,0
0.54688,0.34039,0
0.95751,0.58527,0
0.96489,0.22381,0
0.15761,0.75127,0
0.97059,0.2551,0
0.95717,0.50596,0
0.48538,0.69908,0
0.80028,0.8909,0
0.14189,0.95929,0
0.42176,0.54722,0
0.91574,0.13862,0
0.79221,0.14929,0
0.95949,0.25751,0
0.65574,0.84072,0
0.035712,0.25428,0
0.84913,0.81428,0
0.93399,0.24352,0
0.67874,0.92926,0
0.75774,0.34998,0
0.74313,0.1966,0
0.39223,0.25108,0
0.65548,0.61604,0
0.17119,0.47329,0
0.70605,0.35166,0
0.031833,0.83083,0
0.27692,0.58526,0
0.046171,0.54972,0
0.097132,0.91719,0
0.82346,0.28584,0
0.69483,0.7572,0
0.3171,0.75373,0
0.95022,0.38045,0
0.034446,0.56782,0
0.43874,0.075854,0
0.38156,0.05395,0
0.76552,0.5308,0
0.7952,0.77917,0
0.18687,0.93401,0
0.48976,0.12991,0
0.44559,0.56882,0
0.64631,0.46939,0
0.70936,0.011902,0
0.75469,0.33712,0
1.2229,0.7788,1
0.89423,0.42345,1
1.3985,0.090823,1
1.2709,0.26647,1
1.4959,0.15366,1
1.4999,0.28101,1
1.4385,0.44009,1
0.8336,0.52714,1
0.86881,0.45742,1
1.1196,0.87537,1
1.3309,0.51805,1
1.4544,0.94362,1
1.2076,0.63771,1
1.62,0.95769,1
1.5184,0.24071,1
1.7686,0.67612,1
1.3313,0.28906,1
1.1251,0.67181,1
0.90563,0.69514,1
1.411,0.067993,1
